name,ratings,date,helpful,comment,developer_comment
LSH,1,2020-09-29,9,4개월 이전 구매이력 확인이 어렵고 계속 로그인하라는 에러표시만 반복됨,
최형민,1,2020-09-29,0,전설의 압구정 펌프왕이 있어서 다운로드 했는데 없군요. 그냥 삭제해버리고 가겠습니다.,
킨더조이기린,1,2020-09-28,32,"고생해서 만든 분들께는 죄송하지만 진짜 이 앱은 최악이네요... 엘페이에 카드 등록하면 혜택 있대서 카드 등록 시도만 10번은 했는데 등록도 안되고, 진심 뭐 하나 클릭할 때마다 너무 느려요. 상품 픽업할 곳 선택하는 부분은 특히 최악이에요. 현위치 버튼 눌러도 현위치가 아닌 쌩뚱맞은 곳으로 가 있고, 지역 검색 후 지도 위치 옮기려하면 밑에 목록이 계속 위로 올라와서 뭐 선택할 수가 없어요. 몇시 안에 주문하면 당일발송이라길래 급하게 하는데 앱이 구려서 가방 하나 주문하는데 30분은 걸린듯요...하 롯데 돈 많잖아요. 외주업체에 돈 좀 많이 주고 일정 좀 길에 잡아서 새로 싹 다시 만들어야 될듯요. 앱때문에 답답해서 경쟁사에 고객 다 뺏길 거예요 분명.. 저부터도 이 앱 다신 안쓸듯요",
조용규,1,2020-09-27,0,어플 무겁긴 겁나 무겁고 이벤트 운영은 그지같고,
Chueun Kim,1,2020-09-27,3,반품하기 메뉴에는 왜 이미지 첨부가 안되나요?? 반품하기믄 들어가면 폰 심하게 버벅이구요,
junyoung lee,1,2020-09-26,0,아..이건 2000년대 쇼핑몰에서 결제하는 경험을 했다. 도대체 롯데는 무슨생각으로 이런 느리고 불편하고 말도안되는 앱을 만들었단 말인가? 앱개발사에게 손배청구를하든 다시 바꾸든.. 진짜 토나올뻔..,
Regina Lovely,1,2020-09-26,6,리뷰 남기긴 오랜만이네요. SSG처럼 만들고 싶었나본데 몰이동 제대로 되게 하고 어플을 내놓으셔야지.. 롯데홈쇼핑 눌렀는데 왜 엘롯데로 가냐구요. 짜증ㅠㅠ,
박꾼,1,2020-09-26,28,종료가 어렵네요. 이것저것 보다가 홈 화면으로 돌아가서 백 두번 연속 클릭하면 앱 종료되게 해주세요. 백을 수십 번 눌러야 종료가 되니 불편해서 쓸 수가 없습니다.,
수희,1,2020-09-25,2,ㅋㅋㅋㅋㅋ결제하고 잤는데 로그아웃돼있길래 로그인하려니 로그인이안됨 아이디 비번찾으려고했는데 다 내가 쓴거 맞는데 뭐 어쩌라는거야 미친어플,
이마린,5,2020-09-24,0,롯데 흥해라,
susan Y,1,2020-09-24,0,"한달평균 40만원 VIP회원으로 8-9년동안 정도 들었는데, 이런 경제적피해까지 치르고 끝나야하나? 싸이트오류로 5개월 고생 고생해도 인내하고 이용해왔는데, 어줍잖은것으로 상담사 거짓말하고(주문결재상태인데도 합배송안돼서 상담하니 상담사말하길 그냥 배송비 내시고 주문하심 Lpoint넣어드릴께요 말하여 쪽파 4,880원+배송비3,000원=7,880결재한지 한달도 더 됐으나 안줌, 상담하면 좀 시간걸려요 라고 미루고, 앱에서 문의하기 올려도 접수상태로 답도 없고, 스토아 상품 4가지 60150원 주문하자마자 20분만에 주문 결재상태서 취소하니 3가지는 취소 됐는데 닭갈비 하나만 ""취소불가 상담사, 판매자에게 문의하라""는 팝업, 저녁시간 5시반에 상담하니 제가 알아서 처리할테니 걱정하지마세요 하고는 택배사 연락안하고는 다음날 롯데택배 이미 상품출고해 가지고 나가서 반품 안된다는문자 달랑하나오고 이제까지 말한마디없음 떼어먹겠다는건가? 전산오류와 상담사들거짓말,무성의로 경제적피해까지 ㅠ",
K,1,2020-09-24,1,강제 업뎃 짜증나네,
신현희,1,2020-09-24,0,계속 비번오류 잘사용하는건데...,
Youth,4,2020-09-23,9,뒤로 가기 두번 눌렀을 때 앱 종료가 되게끔 해주었으면..,
박수진Park SuJin,1,2020-09-23,0,카드등록 계속 안되서 너무 짜증나서 삭제합니다,
임종태,1,2020-09-22,0,배송기사가 잘못 배송한 것도 모자라 짜증까지 내니 기가차네요. 택배원들 요즘 힘든 거 알고 왠만하면 받아주겠는데 배달원 짜증까지 고객이 받아야하나요?,
성이름,1,2020-09-22,0,너무 느림,
minsoo kwon,1,2020-09-21,0,왜 자꾸 이전 구매내역이 안보이게 업데이트되나요? 수년동안 롯데로 명절마다 늘 똑같은 주소로 선물보냈는데.. 설 선물 내역도 못보니.. 정말 번거롭고 불편하네요. 설에도 홈페이지 리뉴얼되면서 주소 수기로 새로 하나씩 입력했는데.. 그짓을 또 해야합니까?,
오영윤,1,2020-09-21,0,이앱 심하네요. 안드로이드 5.1인데도 로그인화면에서 멈춰서 로그인조차 불가능해요. 앱삭제했다가 다시 깔아도 마찬가지.. 언제 수정되나요?,
유현철,1,2020-09-20,0,너무구림.엘페이등록안되서 다시 다른앱깔아야하고. 비번도 수정햇으나 같은오류 무한반복. 앱시스템 관리 안하나봄,
소슨사,1,2020-09-20,0,와 깔고 10초만에지움 노트10인데도 끊겨 무슨놈의 어플이,
박해연,1,2020-09-20,0,"롯데어플 최악ㅡㅡ 남편이 롯데홈페이지, 롯데어플쓰면서 잘안된다고 욕했던 이유를 알겠음 엘페이 카드 등록 20번넘게했는데 등록이 안됌ㅡㅡ사진찍는거로해도 안되고 직접입력하고 동의버튼 눌렀는데 다음으로 안넘어감 하... 진심 쓰레기같은 어플ㅡㅡ 엄청 화남ㅡㅡ 삭제하고 다시 깔음ㅡㅡ 하.. 그리고 2번만에 됨ㅡㅡ 이번에도 안되면 롯데카드 안쓸생각이였음 화나서ㅡㅡ 이러면서 무슨 엘페이쓰라고 난리인지ㅡㅡ 어플이나 제대로 만들던가ㅡㅡ",
Jupiter K,1,2020-09-20,0,간편결제 카드등록이 안됨,
lee lee,1,2020-09-19,0,"응모페이지에서 인증번호 안옴(로그인 비밀번호찾기에서는 잘 옴), 엘페이 결제 둥둥이 없어서 못씀. 로그인이 가장 불편하고, 뭘 하라고 만들어 놓은건지 모르겠다. 복잡하고 쇼핑이든 결제든 목적 을 달성하기 위한 절차가 너무 복잡함. 퀘스트 깨고 포인트 적립이라도 해보려했는데 포기.",
아이스크림 집요정,1,2020-09-19,0,너무느려요....속도가 느려요...빨리개선해주세요,
김훈,1,2020-09-19,0,쓰레기앱 주문이 안된다,
문길주,1,2020-09-18,0,안드로이드 5.1 버전 이용중인데 로그인창에서 먹통상태네요 같은 에러로 앱 이용을 못하는 사람이 다수고 오래전에 보고된 사항같은데 개선이 여전히 안되어있네요,
Google 사용자,1,2020-09-18,0,"진짜 역대급 최악의 앱..롯데 클라쓰가 보인다. 어떤 메뉴도 멀쩡하지가 않다. 이따위로 만들기도 힘들듯 1점도 아까움. 이전 주문 내역 서비스 3개월 만에 종료, 배송지 정보는 다 날려먹음, 엘페이 결제수단 등록하다가 에러, 잠깐 다른 앱 전환하면 바로 초기화..할수있는 거지같음은 다함. 망할듯",
Google 사용자,1,2020-09-18,0,업데이트 후 로그인이 안되네요. 로그인이 안돼서 사용조차 할 수 없어요.,
김성무,1,2020-09-18,0,개발자좀 고용하세요 대기업에서 왜이렇게 어설프게 앱을 만듭니까? 엘페이 사용할려는데 문자로 본인인증을 왜해요? 로그인도 지문으로하면서. 이런발상은 어디서 나온거에요? 거기다 인증도 안되고 그러다 카드등록도 안되고 머이런 거지같은경우가 있어요?,
그저그저,1,2020-09-17,0,이앱을 한마디로 표현하면 전광훈,
Dan _L,2,2020-09-17,0,지문 로그인을 수락해도 지문인식이 뜨질 않네요? 삼성 갤노트10+입니다.,
Redwood Park,1,2020-09-17,0,하나도아깝네요 고객기존정보는 팔아드셨나요. 막대한돈쓰고도 이렇게만들다니. 부끄러운줄아세요,
누룽지,1,2020-09-17,1,너무 버벅거리는거 아닙니까? 돈도 많은데 앱개발자 좀 제대로 된 사람으로 뽑았으면 좋겠습니다,
정다운,5,2020-09-15,0,오...기대안했는대 편하고좋다,
김정동,2,2020-09-15,1,넘 버버거리고 통합도가 떨어져요. 롯데on에서 받은 쿠폰은 마트에서 결제시 확인도 안되 쓸수가 없고.. 뭐가 체계없이 만들어진 앱 같아요.,
chanyeop NA,1,2020-09-15,0,"다른오픈마켓과 차별화가없음 고객센터에 문의를 하면 다른 오픈마켓도 이러니 우리도 이렇다 라는 식의 응대와 모바일버전과 pc버전에 환불/교환 규정이 달라 정확한 안내도 못하는 등, 롯데라고 크게 잘난거하나없어보임",
김진영,2,2020-09-15,0,아니..롯데온 어플 자주사용하는데 옆에 엘페이 자동결제?무슨바코드모양 생기구나서 렉개심해요...뭘 검색하고 들어가야 렉사라짐,
차은주,1,2020-09-13,0,이껏 연회원가입했는데 계속 결제오류 서버오류 주문을할 수가 없네요,
deokmi HWANG,1,2020-09-12,40,내가 써 본 쇼핑 어플 중에 제일 가장 핵 구립니다 롯데닷컴 왜 없앴는지 이해가 안됨,
J,1,2020-09-12,0,예전부터 롯데마트 인터넷이나 어플 모두 로딩 때문에 쇼핑하기 답답해요.,
홍진영,1,2020-09-12,0,별거없으면서 계속 업뎃요구에 느려터짐,
Lena Hong,1,2020-09-12,2,장난??? 차라리없애든가.아님 리뷰를 보고 좀 고치든가. 뭐하냐???????,
황다혜,1,2020-09-11,1,뭐지?장을 보라는거에요 말라는거에요?아 무슨 이런 거지같은 어플이. 다있는건지...첨엔 내폰이 문제인건가 봣더니 롯데 어플 문제네ㅡㅡ아니 배송 시간이 당일만 뜨고 그 이후 시간은 다 짤려서 보이지도 않고 뭔 클릭도 안돼게 만들어놓고ㅋㅋㅋㄱ농락당하는기분...퉷 더러워서 여기 안써!!롯데마트 망하는 이유는 이어플 리뉴얼 한사람들때문일꺼임!!,
u-kyoung j,2,2020-09-11,1,유료서비스인 롯데오너스 쿠폰받기가 왜 그렇게 불편하게 되어있는지 모르겠습니다 쿠폰을 한번에 받게 해주면 될텐데 하나하나 받게 해놓고 하나 받을때마다 짧지만 로딩도 있고 받고나면 제일 위로 돌아갑니다 쿠폰을 쓰지 못 하게 하려는 수작처럼 보일 정도입니다,
황혜숙,1,2020-09-11,3,앱을 관리는 하나요? 정렬도 잘안되고 상품을 보고 나오면 보던 페이지가 아니라 젤 처음으로 돌아가요 롯데 온으로 바뀌고계속 그러는데 서비스도 그렇고 기능도 그렇고 최악이네요,
ᄌᄒᄇᄋᄃ,1,2020-09-10,0,한개도 아까와요 켜면 업데이트 지긋지긋합니다,
김환희,3,2020-09-10,0,앱에서 뒤로가기 8번 눌렀는데 뒤로만 가고 종료가 안되네요,
한철승,1,2020-09-09,0,배송도 느리고 오배송에 쿠팡에 밀리는 이유를 알겠다.,
황동신,1,2020-09-08,0,너무 느림..에러 많고,
Jn Lee,1,2020-09-07,0,안심번호 안됩니다. 롯데온 1대1문의로 확인해 달라고 했더니 제가 주문할때 안심번호 신청한 부분이 확인이 안된다고 저보고 다시 확인하라고 하더라구요. 근데 그 이후에 안심번호로 주문한 물건도 도착하고 보니 택배에 제 연락처 쓰여있었습니다. 진짜 상품 찾아볼때도 앱 불편하다고 생각했는데 하.... 롯데온 최악이에요.,
박종섭,1,2020-09-07,0,로그인도 안되는 최악이다,
lee진아,1,2020-09-07,0,배송누락해놓고 구매확정 처리됐네요? 상품을 4개나 배송 안했으면 CS처리라도 빨리되든지 9시부터 전화해도 전화도 안받아 채팅도 안돼 1:1문의 답변도 없고ㅡㅡ 진짜 짜증나서 안쓸듯 배송도 제대로 안되면서 자동 구매확정 처리하는건 무슨 시스템인가요? 빡쳐서 정말,
Crak Kin,2,2020-09-07,0,개발자님 앱설정에서 PUSH 설정 및 수신 동의에 소리 진동 무음 세부 설정 추가 좀 해주세요 폰 자체 설정에서 진동이나 무음으로 설정을 해도 롯데on 앱에서 얼림이 수신 돠면 소리 진동으로 설정이 강제로 바뀌면서 수신 됩니다 ㅡㅡ 굉장히 짜증나네요 그래서 PUSH 수신을 OFF 하고 있네요 이거부터 업뎃 좀 해주세요,
Google 사용자,1,2020-09-07,0,역행하는 앱을 만든거 보니 대단함 어플 제작자가 롯데 망하라고 한듯 30년전 모뎀으로 연결한것 보다 속도 느리고 연결 안 되고 롯데 탈퇴하게 만드는 어플인듯 함,
천지애,1,2020-09-06,4,이거 개발한사람 아직도 회사 근무중인가요??? 짤려도 진작에 짤려야할텐데 무슨 장바구니에 담는데 한세월걸리고 담아놓은 물건 결제하려면 시스템에러뜨고 서버 점검중이면 아예 공지띄우고 점검하던가 대기업이 머 이따위야 하청에 하청을 줘도 이렇게 관리안하겟다,
갓재환팬,5,2020-09-06,0,롯데온 짱입니다,
금지주차,1,2020-09-05,1,아니 평가한 글 삭제하시고 아주 대단합니다 그리고 시킨 물건 안올때가 너무 많고 평가글을 2번이나 삭제하고 너무 쓰기 싫은 앱 입니다,
이명희,1,2020-09-04,1,하..앱 바뀌고 나서 몇번이나 다시 재설치 했는지.. 고객센터에서도 지웠다 다시 깔라는 말밖엔.. 로그인도 안되서 장바구니 담아놓은거 못 사고 다른사이트 갑니다 롯데계열 탈퇴각 롯데카드도 청구액 보니5배는 줄었다는...별주기싫다,
ay _,1,2020-09-04,3,별 0개는 못주는건가요? 최악의 앱입니다,
Bruce Lim,5,2020-09-04,0,우아 정말 좋아졌는데요 기존에 롯데온 후져서 안쓰고 있었는데요 엘 포인트 쓰고 식품 좀 사야겠당 ㅋㅋ,
jangkyu kim,4,2020-09-04,0,요즘 많이 좋아졌네요~,
유민우,2,2020-09-03,1,속도가 기가막히게 느립니다. 앱 정보는 다 나눠서 머지하는식으로 글은 글대로 이미지는 나중에 천천히 해도 되니까 기본적 페이지 로딩부터 async로 하세요 진짜 후쿠오카 호텔 와이파이쓰는줄 알았음,
전mable,1,2020-09-03,1,제발 롯데마트온라인몰앱 다시 내놓으세요... ㅠ 미치겠다 증말.. 완전 불편함 맥스임. 그리고 왜 롯데온으로 바뀌고 나서는 (주문더하기 가능회차) 사용을 할 수가 없나요.. 깜박하고 빼먹은거 추가로 주문하려니 배송비 3천원 꼬박꼬박 받아먹는다.. 내참.. 프로그램 오류인가해서 몇번을 다시 해봐도 (주문더하기 가능회차가 있습니다. 선택하시면 무료 배송> 이라는 멘트만 뜨고 정작 선택은 안됌 ... 하.... 진짜 짜증난다. 2주째 안됌 돌아버린드아.,
Minhyung Lee,1,2020-09-02,2,최악인듯하네요 결제한거 자동취소가 되버리네요 아마 확인 안했으면 왜 안오나 했을거야,
Stephen Hong,5,2020-09-02,0,굿,
김영인,1,2020-09-01,0,업댓을 하고 나니 쇼핑하기도 불편하고 속도도 느려진 이유가 뭥미?,
HJ GGing,1,2020-09-01,1,"롯데마트 쿠폰은 ""인터넷몰"" 전용쿠폰이라고 표기좀해주세요 롯데마트 매장에서 저뿐만 아니라 다른손님들도 헷갈려하더라구요 그리고 롯데ON하나면 쇼핑할수없구요 매장에선 롯데M쿠폰을 깔아야된대서 계산대에서 한참깔고 로그인하고있었네요 온라인주문은 롯데마트몰 앱 또 깔아야되구요",
냥냥,1,2020-09-01,2,롯데마트 인터넷주문 항상 이용하던 사람인데.. 앱 바뀌고 딱 두번 주문했네요.. 인간적으로 앱이 넘 불편하게 변했어요.. 심지어 예전에 항상 주문하던 물건도 찾을수 없고..너무 불편합니다.. 항상 애용하던 고객으로써 너무 안타깝네요ㅜ 어쩔수없이 쿠팡 같은걸로 갈아타긴했는데 그냥 가끔 롯데마트 생각나고 이렇게 변한게 넘 속상해서 글남겨요 ㅜ 다시 예전으로 돌려놔줘요ㅜ,
표명춘,5,2020-09-01,0,좋아요 😀 👍 😀,
김영주,1,2020-09-01,0,장바구니를 보려고 하면 화면이 멈춘듯 빈창이 떠요.백지. 업그레이드도 해보고 다시 깔아보고 했는데 안돼는데 이거 어디에 물어봐야하는지 난감해요,
이일범,1,2020-09-01,1,롯데마트는 이마트에 안되는 이유가있음 예정 배송일도 못지키고 후속조치도 없고. 롯데마트 코앞이라 금방오겠지 하고 주문했는데 이마트처럼 시간 딱딱 맞춰오는게 아니라 지들 오고싶을때오네 3일 전에 주문한게 올 생각을 안하네 다신 안씀 수고요,
lihe kim,1,2020-08-31,1,장바구니 안열려요,
임혜선,1,2020-08-31,2,기존보다 사용이 불편합니다 그냥 쓰게두시지.....안타깝네요. 전보다 구매하지않게되요,
이선희,1,2020-08-31,3,화를 부르는 어플,
jy Kim,1,2020-08-31,6,롯데마트몰에서 판매하던 상품이 갑자기 롯데온으로 바뀌니까 상품검색 해도 안찾아짐. 담아놓은 목록도 지워지고 등급도 처음부터 다시 시작하라니... 제일 불편한건 뒤로가기 실행하면 이전화면이 나오는게 아니라 초기화면으로 가는것. 너무 관리자 편의로만 바꾼듯! 사용자는 불편해서 속터짐,
진유미,1,2020-08-31,2,장바구니 99개 넘어가니 열리지도 않아요. 롯데마트몰도 이용못하고 있어요. 빨리 고쳐주세요...... 합쳐져서 더 안 좋아요.,
엘런예거,1,2020-08-31,2,"잘 사용하던 롯데닷컴,롯데마트, 통합 후에는 짜증나서 들어 오기도 싫음.요즘에는 장바구니가 열릴 생각을 안하니 물건 모아서 사지도 못하고, 롯데닷컴은 혜택이 없어지고 상품 보기는 더 복잡해져서 도대체 무슨 이유로 이따위 앱을 만들었는지 이해가 안감.",
이경주,1,2020-08-30,0,앱 불편해요,
Brendon Nam,1,2020-08-30,2,왠만하면 리뷰 안답니다 이 앱 업그레이드한 이유는 개발부서에서 고객을 내보내고 롯데 망하게하기 위한 것같습니다. 업그레이드 마다 더 늦어지고 오류나고 대체 왜 불만들이 이렇게 많은데 고집하는지 모르겠네요! 그냥 롯데닷컴으로 돌리세요 아니면 그냥 없애고 오픈마켓에 위탁만 하시던지... 업그레이드 후 모니터링은 하는지 모르겠네요,
Youngsam Yu,1,2020-08-30,1,최악이다 다시 옛날로 돌려 줘,
yeha kim,1,2020-08-29,1,안산점 장바구니가 안열려요， 그외에도 버그 넘 많아요,
김기창,5,2020-08-29,0,굿,
Stella Sin,1,2020-08-29,24,완전 바보삼룡이 앱 물건구매했는데 안됐다고해서 결제한번더 해서 카드사내역보니 2번 결제 됐음 주문내역서 하나 취소했더니 2개주문내역 통째사라짐 1개만 취소처리 완료로 뜸 어렵게 상담사 통해 설명했더니 연락없이 물건배달 1:1 상담 절대 답변 안됨 도대체 이해안됨 별 마이너스 5개 주고싶은데 하나는 최저로 표시해야돼서 어쩔 수 없이...ㅠㅠㅠ,
정유주,2,2020-08-29,0,신세계몰 앱보다 너무 느리고 불편해요 특히 장바구니 버튼을 누르면 한번 더 팝업창이 뜨는게 너무 불편해요,
윤병일씨,1,2020-08-28,2,최악. 장바구니 담기만 되고 열리지 않는 롯데온!,
Soohyun Park,1,2020-08-28,0,튕기기만 함,
DH J,1,2020-08-28,0,계속 돌기만 하고.. 답답해 죽겠고 일단 롯데는 통합부터 해야함 롯데만 3~4개 되어보임. 그리고 반품아닌 교환비도 청구하는 롯데..ㅋㅋㅋ,
MS L,1,2020-08-28,0,별하나도 아까움! 이전에 롯데닷컴에선 잘만 검색되던것이 왜안나옴? 앱 바꾸고 매출 엄청 떨어지지 않았나여?,
김현정,1,2020-08-28,1,제일 사용하기 어려운 쇼핑몰 웹이니다. 왜 만들었을까요? ㅜㅜ,
하정화,1,2020-08-28,0,전보다 느려져서 답답하고 기능들도 더 못해져서 불편합니다.,
ju young min,2,2020-08-27,0,장바구니 여러군데몰에서 넣었는데 그때그때 아이템이 사라졌다가 나타나네요 혹시 이런거는 테스트는 안해보시나요,
한연수,1,2020-08-27,1,오류가 왜 이리 많이 나나요,
이민호,1,2020-08-27,0,환급금 되는제품 신랑꺼 아이디로 다시결제하려고 주문 취소하니 주문취소가 실패되었습니다 다시시도해주세요가뜹니다 계속 인터넷에서 물건사고 이런경우 첨이네요 이게 뭐죠?,
sunhee park,1,2020-08-26,1,롯데 ON앱이후 롯데쇼핑몰 안합니다. 그전이 훨훨더 좋았는데.,
R N,1,2020-08-26,0,정말 답답할 노릇이네요. 롯데를 자주 이용하는 사람입니다. 리뉴얼된 이후로 정말 화를 참고 참으며 사용하고 있습니다. 정말 이런 글 안쓰는데. 화가 너무 차올라 몇자 적습니다. 1. 요즘 자주 자동로그인이 풀림 2. 생체(지문)로그인 시도 시 얼럿만 노출되고 디바이스에 생체로그인 호출이 안됨 3. 장바구니 진입안됨 (타인 계정으로 할땐 정상 진입 가능하나 제 계정으로 하면 로딩만 되고 흰화면만 나와짐 / 혹시 몰라 타인 디바이스에 제 계정으로 해도 안됨) 4. 고객센터 응대가 전문적이지 않네요. 제가 오류에 대해 말하니 자기쪽에 오류 공지가 안떠서 모른다고 하며 핸드폰 재부팅을 하라고 함. 그래도 안되어서 문의하니 당일 6시까지 연락주겠다 했으나 연락 전혀없네요. 또한 제가 제 계정 로그를 확인하고 알아봐달라도 하니 자기들은 못한다고 합니다.. 저는 롯데마트 기준으로는 MVG등급으로 자주 이용하는 사람인데요. 이젠 구매조차 할 수 없는 상황이네요..^^;;;;;,
정민교,1,2020-08-26,0,그냥 쿠팡 사라,
요미닝 yomining,1,2020-08-25,0,써보면 암,
Choonhee Heo,1,2020-08-25,1,마이롯데는 사이트별로 조회되어야하는거 아닌가요? 롯데마트만 조회되는데... 통합 기능이 애매합니다.,
최성은,1,2020-08-25,0,결제가 안됨,
장미현,1,2020-08-23,0,처음부터 고민하고 잘 만들지 도대체 몇 번을 업데이트 하는지...,
Error_Code,1,2020-08-22,0,쿠팡 반만 따라가라.. 이게 어플이야!? 그냥 사이트 링크야?!,
이규재,1,2020-08-22,0,정말 거지 같은 쇼핑몰입니다. 스마트픽은 맨날 처리 안되서 전화오고 반품은 보낸지가 언제인데 받은적이ㅡ없다고 하고 다른데 이용하세요,
복실양내사랑,1,2020-08-21,0,로그인 왜 안되냐구요!!!!,
Yj J,2,2020-08-21,0,왜 이렇게 자주 업데이트하나요? 쇼핑몰앱이 왜 이렇게 자주 업데이트하는지 모르겠어요.,
J Park,1,2020-08-21,0,"스마트픽 설정 안 되고, 배송지점 선택하라고 하면서 지점선택창 안 나오고 그냥 배송 주소만 입력하라고 나오네요. 아침부터 머리아프네요-.-",
예순희,5,2020-08-21,0,😍,
비슬,2,2020-08-20,0,옛날 롯데닷컴이 더 낫다. 모조리 해외직구만 많다...,
미호,1,2020-08-20,0,먼저 앱이 훨씬 더 잘되어 있음.,
탕구리,1,2020-08-20,1,퇴보도 이런 퇴보가,
채민재,1,2020-08-20,0,최악,
min gi kim,1,2020-08-19,0,미친거 아님 어플을 얼마나 개판으로 만들었음 확인조차 못하게 강제 업데이트를 시키네,
이승훈,1,2020-08-19,0,최악중에 최악,
빛사랑,1,2020-08-19,0,다운그레이드,
Kiyeon Kwon,1,2020-08-19,0,이건뭐최악입니다 이전롯닷이진짜편했는데,
yeonju kim,1,2020-08-19,1,롯데온 덕에 부회장 잘림~,
김영수,5,2020-08-18,0,넘 좋아요,
우현정,1,2020-08-18,0,기존사이트보다 더복잡해져 이용안하게됨,
jungha *&,1,2020-08-17,0,이게 무슨... 이용 잘 하던 걸 왜 이리 해놔서... pc에서 정기배송 통채로 날라가 버리고 문의했더니 본인들도 모른다 다시 주문하라 하고. 이젠 검색조차 뜨지않아서 문의했더니 앱설치 하라그래서 폰에 앱 설치했더니만 pc에서 되는 로그인이 폰에서는 일치하지 않는다 그러고. 당췌 앞으로 넘어가지 않으니 몇번을 반복하고 짜증이 나고 속이 상해 뭔 이런 경우가 다 있노...스트레스 안받으려 조용히 그냥 회원탈퇴하려니 또 왕짜증이게 만든다...이 노릇을.. 헛웃음만 나온다..대단하다 롯데....쫌!!!!,
김효겸,1,2020-08-17,0,하루가 멀다하고 업뎃만 하네요. 장바구니 물품이 야간에 전부 품절로 바뀌는 현상은 고쳤나 모르겠음. 문의하니까 복붙 수준의 답만 해놓았든디,
윤이,1,2020-08-17,0,1:1 문의작성 한거 수정도 안되고 상담원과 채팅창 갑자기 사라져서 어딜찾아봐도 없고 새로 열었더니 이전 내역 어디갔는지 보이지도 않고 뭐이딴 앱이 다있는지. 날도 더워 죽겠는데 빡치게 하.. 물건을 샀더니 사은품 다빼먹고 상품페이지랑 다르게 고지도 없이 멋대로 보내질않나.. 다신 이용하고 싶지않음,
jaesuk kim,1,2020-08-17,0,롯데 닷컴 돌아가자,
신용우,1,2020-08-17,0,쓰레기앱 능력 없으면 기존에 하던대로 해.,
김하나,5,2020-08-17,0,ㅂㅃㅡ ᆞㅅㅇ시ㅣ guerrillas,
신유정,4,2020-08-17,0,괜찮음,
RDERER MU,5,2020-08-16,0,굿입니다,
손형주,1,2020-08-16,0,이어플은 리뷰쓰는것도 없는게 있어요 상품은 광고와 완전 다르고 문의를 하면 동문서답.... 여기서 식탁 백만원넘게 주고 샀는데 사용할수록 열받는 제품.... 롯데라는 브랜드가 이렇게 엉망일줄은 몰랐습니다,
kyunghee lee,1,2020-08-16,0,바뀌면서 너무 불편해요 오류도 많고 취소하는데 한달 걸리는게 말이나 되나요,
최재혁,1,2020-08-16,0,현관비번적어놓은게 다시 주문하려고 보니 사라져 있음 이런 사소한 거 하나 못챙기냐,
가자,5,2020-08-16,0,good,
